generation,best_fitness,mean_fitness,convergence_ratio
2,225,52.89,0.23506666666666667
3,109,55.41,0.508348623853211
4,3644,136.905,0.03756997804610318
5,7026,170.805,0.024310418445772846
6,5750,177.525,0.030873913043478262
7,7121,518.695,0.07284019098441231
8,8147,623.39,0.07651773659015589
9,8137,989.245,0.12157367580189259
10,8294,623.02,0.07511695201350374
11,8270,810.33,0.09798428053204354
12,8219,940.705,0.11445492152329968
13,8922,1152.725,0.12920029141448106
14,8307,1184.795,0.14262609847116892
15,8286,1254.745,0.15142951967173546
16,8147,878.815,0.10786976801276545
17,8201,1180.885,0.1439928057553957
18,8189,1136.275,0.13875625839540848
19,8232,1301.325,0.15808126822157434
20,8110,823.715,0.10156781750924784
21,8168,1099.98,0.1346694417238002
22,8157,1826.13,0.22387274733357854
23,8278,1446.64,0.174757187726504
24,8126,1712.865,0.21078821068176223
25,8431,1482.855,0.17588127149804295
26,8254,1196.565,0.1449678943542525
27,8165,2275.435,0.2786815676668708
28,8292,1981.195,0.23892848528702362
29,8329,1981.195,0.23892848528702362
30,8247,2070.745,0.25109069964835695
31,8259,1941.095,0.23502784840779756
32,8127,2480.725,0.30524486280300234
33,8120,2391.345,0.29450061576354675
34,8248,1656.04,0.20078079534432589
2,8349,8349.0,1.0
2,8233,8233.0,1.0
2,8361,8361.0,1.0
2,8214,8214.0,1.0
2,9355,9355.0,1.0
2,8127,8127.0,1.0
2,8144,8144.0,1.0
2,8680,8680.0,1.0
