generation,best_fitness,mean_fitness,convergence_ratio
2,6132,80.345,0.013102576647097195
3,6560,124.515,0.01898094512195122
4,8256,226.16,0.027393410852713178
5,8184,376.675,0.04602578201368524
6,8110,393.555,0.048527127003699135
7,8330,518.13,0.06220048019207683
8,8498,636.65,0.07491762767710049
9,8135,398.17,0.048945298094652735
10,8616,473.51,0.054957056638811515
11,8216,644.51,0.07844571567672834
12,8698,825.315,0.09488560588641068
13,8139,730.78,0.0897874431748372
14,8420,1128.33,0.13400593824228027
15,8190,1076.695,0.13146459096459095
16,8192,1199.35,0.146405029296875
17,8136,833.1,0.10239675516224189
18,8309,884.23,0.10641834155734746
19,8258,828.755,0.10035783482683458
20,8242,841.585,0.10210931812666829
21,8289,1014.07,0.12233924478224154
22,8450,636.435,0.07531775147928993
23,8185,464.06,0.07531775147928993
24,8394,339.505,0.04044615201334286
25,8235,549.075,0.06667577413479053
26,8308,571.815,0.06882703418391913
27,8208,816.78,0.09951023391812865
28,8263,346.005,0.04187401670095607
29,8194,1127.315,0.13757810593116915
30,8123,1582.28,0.1947901021789979
31,8118,1220.095,0.15029502340477952
32,8157,1501.05,0.18401986024273628
33,8161,1824.015,0.22350385982110038
34,8358,2345.93,0.28068078487676473
35,8557,1497.855,0.17504440808694635
36,8215,1385.965,0.16871150334753499
37,8366,1820.62,0.21762132440831938
38,8296,1457.6,0.17569913211186114
39,8280,2087.815,0.2521515700483092
40,8264,1940.05,0.23475919651500485
41,8127,2160.36,0.2658250276854928
42,8122,1678.44,0.20665353361241073
43,8154,1975.53,0.2422774098601913
