generation,best_fitness,mean_fitness,convergence_ratio
2,395,49.315,0.12484810126582278
3,4248,80.88,0.01903954802259887
4,3773,96.42,0.025555261065465146
5,6374,278.005,0.04361546909319109
6,6427,669.545,0.10417690991131165
7,8250,1224.745,0.1484539393939394
8,8333,728.67,0.08744389775591023
9,8130,958.71,0.11792250922509226
10,8153,823.135,0.10096099595241015
11,8135,1143.95,0.14062077443146898
12,8179,1191.225,0.14564433304804988
13,8142,1115.94,0.1370596904937362
14,8118,1408.485,0.17350147819660014
15,8539,1817.515,0.21284869422649022
16,8274,1343.735,0.162404520183708
17,8131,1642.315,0.20198192104292215
18,8231,1605.09,0.1950054671364354
19,8404,2203.11,0.26215016658733936
20,8372,1968.34,0.2351098901098901
21,8194,1755.815,0.21428057114962168
22,8275,1323.905,0.15998851963746225
23,8392,1738.655,0.20718005243088655
24,8251,1813.85,0.21983395952005816
25,8270,1474.025,0.17823760580411124
26,8125,2690.795,0.3311747692307692
27,9438,2634.145,0.27909991523627886
28,8241,1949.52,0.23656352384419366
